trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.8, 'e': 0.36787944117144233}",20,13,11.101582278303203,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.8, 'e': 0.36421897957152333}",20,2,30.24215307249247,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.8, 'e': 0.3605949401730783}",20,0,25.032249853181135,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
103,False,"{'a': 0.8, 'e': 0.35700696056914738}",20,10,8.288180160001422,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.8, 'e': 0.35345468195878016}",25,0,32.643035934204114,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
105,False,"{'a': 0.8, 'e': 0.34993774911115533}",20,10,17.369667224540702,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.8, 'e': 0.3464558103300574}",20,15,10.126606987730188,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.8, 'e': 0.34300851741870664}",30,1,-38.42668244278543,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 1}",1
108,False,"{'a': 0.8, 'e': 0.33959552564493911}",25,11,25.493684284834103,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.8, 'e': 0.33621649370673329}",25,7,26.435993643934427,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.8, 'e': 0.33287108369807955}",20,0,-14.761470541284869,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
111,False,"{'a': 0.8, 'e': 0.32955896107518906}",25,11,23.076024562853533,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.8, 'e': 0.32627979462303947}",35,18,27.421097415607502,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.8, 'e': 0.32303325642225289}",20,10,16.124655378630003,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.8, 'e': 0.31981902181630384}",25,0,35.678234800938434,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.8, 'e': 0.31663676937905316}",20,0,26.40193632072929,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
116,False,"{'a': 0.8, 'e': 0.31348618088260533}",25,10,22.590727527131882,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.8, 'e': 0.31036694126548503}",20,0,20.9600503986247,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.8, 'e': 0.30727873860113125}",30,11,34.391188478253206,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.8, 'e': 0.30422126406670408}",20,16,6.277481526379566,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.8, 'e': 0.30119421191220214}",30,0,37.65715669692318,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.8, 'e': 0.29819727942988739}",20,0,-0.4976464079040597,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
122,False,"{'a': 0.8, 'e': 0.29523016692401421}",30,15,26.35099666553867,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.8, 'e': 0.29229257768085942}",20,12,-13.355438156557064,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.8, 'e': 0.28938421793905061}",25,14,20.26577337680455,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.8, 'e': 0.28650479686019009}",25,0,28.52438943197236,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.8, 'e': 0.2836540264997704}",20,0,29.283695488566433,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.8, 'e': 0.28083162177837978}",25,19,11.620019662637239,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.8, 'e': 0.27803730045319414}",30,6,-0.4124346272435997,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.8, 'e': 0.27527078308975234}",25,20,8.615650470649769,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.8, 'e': 0.27253179303401259}",20,0,30.208109586166135,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.8, 'e': 0.26982005638468681}",20,11,16.788562099153996,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.8, 'e': 0.26713530196585034}",35,18,3.258416794598599,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.8, 'e': 0.26447726129982396}",35,19,29.85203022381401,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.8, 'e': 0.26184566858032599}",20,0,10.028971552637982,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
135,False,"{'a': 0.8, 'e': 0.25924026064589151}",25,5,21.59883860084186,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.8, 'e': 0.25666077695355588}",25,0,32.749734709599004,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.8, 'e': 0.25410695955280027}",35,22,23.225849086308475,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.8, 'e': 0.25157855305975646}",20,6,19.178075780865832,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.8, 'e': 0.24907530463166816}",25,9,4.66693918455599,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.8, 'e': 0.24659696394160643}",20,9,4.397562632024818,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.8, 'e': 0.24414328315343711}",20,4,24.056725851226343,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.8, 'e': 0.24171401689703645}",20,0,30.019930507699755,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.8, 'e': 0.23930892224375455}",20,16,7.628385827455412,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.8, 'e': 0.23692775868212176}",25,13,19.127034840034277,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.8, 'e': 0.23457028809379765}",20,16,9.146389752389046,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.8, 'e': 0.23223627472975883}",30,23,13.847284293989889,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.8, 'e': 0.22992548518672384}",20,6,1.4424871148160583,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
148,False,"{'a': 0.8, 'e': 0.22763768838381274}",25,5,31.87152399381114,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.8, 'e': 0.22537265553943872}",20,8,22.570246927979536,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.8, 'e': 0.22313016014842982}",20,11,15.792727974080451,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.8, 'e': 0.2209099779593782}",25,0,-5.793609382713804,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
152,False,"{'a': 0.8, 'e': 0.21871188695221475}",25,2,31.3741075908466,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.8, 'e': 0.21653566731600707}",20,0,26.374024090069994,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.8, 'e': 0.21438110142697794}",25,0,36.00499869665507,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.8, 'e': 0.21224797382674304}",30,0,42.70741762918156,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.8, 'e': 0.21013607120076472}",30,18,20.14115224955447,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.8, 'e': 0.20804518235702046}",20,0,17.768298567664765,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.8, 'e': 0.20597509820488344}",25,0,30.06065660021923,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.8, 'e': 0.20392561173421342}",20,2,27.327221469076026,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.8, 'e': 0.20189651799465538}",30,0,45.156683968362564,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.8, 'e': 0.19988761407514449}",25,5,32.30525554257578,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.8, 'e': 0.19789869908361465}",25,0,-45.467965259425604,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
163,False,"{'a': 0.8, 'e': 0.19592957412690934}",20,3,1.642313378347793,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
164,False,"{'a': 0.8, 'e': 0.19398004229089189}",20,15,11.68436139264891,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.8, 'e': 0.19204990862075408}",20,10,17.689937499130558,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.8, 'e': 0.1901389801015205}",25,6,29.15001934595559,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.8, 'e': 0.1882470656387468}",20,16,6.3900248662087655,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.8, 'e': 0.18637397603940997}",20,6,22.701438276075297,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.8, 'e': 0.18451952399298926}",30,16,18.649578168629827,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.8, 'e': 0.18268352405273466}",35,8,44.25102451941883,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.8, 'e': 0.1808657926171221}",20,0,-61.7343324931816,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
172,False,"{'a': 0.8, 'e': 0.17906614791149322}",20,10,16.4583996775869,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.8, 'e': 0.17728440996987782}",20,6,26.2069299840196,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.8, 'e': 0.17552040061699686}",25,0,34.43497973838722,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
175,False,"{'a': 0.8, 'e': 0.17377394345044514}",25,5,20.145910507903604,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.8, 'e': 0.17204486382305054}",25,11,21.601470877907552,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.8, 'e': 0.17033298882540943}",20,10,14.276457277992712,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.8, 'e': 0.1686381472685955}",20,0,22.151367070556415,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.8, 'e': 0.16696016966704069}",20,8,17.77289683681459,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.8, 'e': 0.16529888822158653}",20,15,8.976045312229925,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.8, 'e': 0.16365413680270405}",20,4,21.333237688077897,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.8, 'e': 0.16202575093388075}",20,0,30.87344073408493,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.8, 'e': 0.16041356777517274}",20,0,35.13910797658899,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
184,False,"{'a': 0.8, 'e': 0.15881742610692068}",25,8,29.631101943628995,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
